City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Pangoa,-12.12,-73.0,68.86,83,5,1.34,PE,1594423090
Prince Rupert,54.32,-130.32,55.4,93,90,13.87,CA,1594423090
Careiro da Várzea,-3.2,-59.81,80.65,74,20,3.36,BR,1594423090
Santa Cruz del Sur,20.71,-78.0,88.03,64,71,8.81,CU,1594423091
Pemangkat,1.17,108.97,74.97,88,100,4.05,ID,1594423091
Springdale,36.19,-94.13,86.74,70,40,3.36,US,1594422939
Fort Myers Beach,26.45,-81.95,88.66,62,20,12.75,US,1594422842
Manado,1.49,124.85,75.2,100,40,3.51,ID,1594423091
Maceió,-9.67,-35.74,75.2,83,20,3.36,BR,1594423060
Kaeo,-35.1,173.78,57.99,3,2,3.33,NZ,1594423092
Vao,-22.67,167.48,68.11,76,38,20.22,NC,1594423092
Mae Sai,20.43,99.88,77.0,100,20,1.21,TH,1594423092
Mendi,-6.18,143.65,60.42,87,73,0.74,PG,1594423092
Lompoc,34.64,-120.46,68.85,68,0,14.99,US,1594423093
Asău,46.43,26.4,63.0,88,0,3.87,RO,1594423093
San Jose,37.34,-121.89,87.13,28,40,9.17,US,1594422870
Bozoum,6.32,16.38,69.26,94,100,5.12,CF,1594423093
Kulhudhuffushi,6.62,73.07,83.07,73,100,10.94,MV,1594423094
Grand-Santi,4.25,-54.38,75.27,96,19,3.06,GF,1594423094
Poum,-20.23,164.02,70.34,66,53,12.1,NC,1594423094
Batagay-Alyta,67.8,130.41,68.95,38,80,3.87,RU,1594423094
Talnakh,69.49,88.4,51.8,93,40,13.42,RU,1594422915
Bairiki Village,1.33,172.98,86.0,70,20,10.29,KI,1594423095
Bulungu,-4.55,18.6,75.04,58,20,2.28,CD,1594423095
Brits,-25.63,27.78,58.42,47,0,10.29,ZA,1594423095
Malanje,-9.54,16.34,61.88,74,42,4.72,AO,1594423095
Ukiah,39.15,-123.21,92.41,16,1,10.29,US,1594422574
Varkaus,62.32,27.87,51.31,100,34,3.36,FI,1594423096
Guadalupe y Calvo,26.1,-106.97,69.49,72,64,6.42,MX,1594423096
Flin Flon,54.77,-101.86,73.4,49,75,5.82,CA,1594423096
Fairbanks,64.84,-147.72,67.5,30,1,13.87,US,1594422941
Altay,47.87,88.12,60.31,55,0,2.06,CN,1594423097
Utinga,-5.82,-35.4,75.96,94,1,4.7,BR,1594423097
Beidao,34.57,105.89,65.62,86,100,2.28,CN,1594423097
Mount Isa,-20.73,139.5,68.0,45,12,8.05,AU,1594423097
Bandarbeyla,9.49,50.81,79.07,71,90,30.65,SO,1594423098
Cabedelo,-6.98,-34.83,75.2,94,40,8.05,BR,1594423098
San Jerónimo,-11.95,-75.28,52.48,52,13,1.77,PE,1594423098
Camaná,-16.62,-72.71,60.37,74,40,6.11,PE,1594423098
Lima,-12.04,-77.03,60.8,77,90,9.17,PE,1594423041
Santa Isabel,-23.32,-46.22,62.11,87,4,4.7,BR,1594423099
Kankan,10.39,-9.31,71.8,93,100,9.31,GN,1594423100
Paracuru,-3.41,-39.03,80.01,76,33,14.0,BR,1594423100
Wilmington Island,32.0,-80.97,88.14,66,1,8.05,US,1594423100
Matagami,49.75,-77.63,68.0,100,90,16.11,CA,1594423101
Caucayá,-0.19,-74.78,73.27,97,44,3.91,CO,1594423101
Camapuã,-19.53,-54.04,74.14,49,69,5.79,BR,1594423101
Mayo,38.89,-76.51,84.79,66,1,4.7,US,1594423101
Yumen,40.28,97.2,73.06,26,100,9.17,CN,1594423101
Tiarei,-17.53,-149.33,82.4,61,40,11.41,PF,1594423102
Gbarnga,7.0,-9.47,69.64,95,100,3.06,LR,1594423102
Iquique,-20.22,-70.14,60.8,77,90,4.7,CL,1594422960
Chongwe,-15.33,28.68,60.01,76,0,2.59,ZM,1594423102
Felipe Carrillo Puerto,19.58,-88.05,87.64,64,42,6.76,MX,1594423103
Talaya,61.38,152.75,61.79,59,18,2.17,RU,1594423103
Vila Velha,-20.33,-40.29,69.91,83,75,10.29,BR,1594423103
Taunggyi,20.78,97.03,62.47,100,100,4.76,MM,1594423103
Tilichiki,60.47,166.1,49.28,94,100,5.86,RU,1594423103
Chepareria,1.31,35.2,60.21,83,100,3.24,KE,1594423104
Nadym,65.53,72.52,55.69,70,59,4.94,RU,1594423104
Lavrentiya,65.58,-171.0,53.1,70,94,1.48,RU,1594423104
Grass Valley,39.22,-121.06,92.12,21,1,6.93,US,1594423104
Guane,22.2,-84.09,85.33,73,97,0.43,CU,1594423104
Bogdana,43.93,25.08,64.0,62,0,1.01,RO,1594423105
Nome,64.5,-165.41,65.28,67,75,20.8,US,1594423105
Jinchang,38.5,102.17,74.34,20,100,6.38,CN,1594423105
Nicoya,10.15,-85.45,77.0,100,75,2.24,CR,1594423105
Udachny,66.42,112.4,57.2,93,75,6.71,RU,1594423106
Ibb,13.97,44.18,71.69,51,100,2.75,YE,1594423106
Teahupoo,-17.83,-149.27,82.4,61,40,11.41,PF,1594423106
Kungurtug,50.6,97.52,55.53,65,46,1.54,RU,1594423106
Beringovskiy,63.05,179.32,57.24,66,88,4.99,RU,1594423106
Zabul Province,32.25,67.25,62.31,26,0,3.24,AF,1594423107
Pokhara,28.23,83.98,71.96,83,100,0.56,NP,1594423107
Ilula,-7.68,36.04,59.54,85,53,6.17,TZ,1594423107
Bambamarca,-6.68,-78.53,56.25,79,68,3.85,PE,1594423107
Tessalit,20.2,1.01,87.15,38,82,3.4,ML,1594422892
Brae,60.4,-1.35,50.0,81,93,8.05,GB,1594423108
Nelson Bay,-32.72,152.15,56.84,100,90,9.95,AU,1594423108
Nabire,-3.37,135.48,78.13,82,4,2.53,ID,1594423108
Belaya Gora,68.53,146.42,70.97,43,3,6.87,RU,1594423108
Trincomalee,8.57,81.23,80.06,80,100,15.7,LK,1594423109
Tura,25.52,90.22,74.57,99,100,6.22,IN,1594423109
Novolakskoye,43.12,46.48,71.6,88,100,2.24,RU,1594423109
Chardara,41.25,67.97,74.08,54,56,2.55,KZ,1594423109
Schattdorf,46.87,8.65,58.12,93,90,2.24,CH,1594423110
Meadow Lake,34.8,-106.54,97.5,8,40,5.82,US,1594423110
Bouca,6.51,18.27,69.51,96,100,2.84,CF,1594423110
Yanam,16.73,82.22,79.38,85,100,2.98,IN,1594423110
Srednekolymsk,67.45,153.68,67.19,55,30,11.72,RU,1594423111
Emba,48.83,58.14,78.69,43,0,6.53,KZ,1594423111
Turukhansk,65.82,87.98,54.64,80,7,2.59,RU,1594423111
Egvekinot,66.32,-179.17,57.06,78,99,3.38,RU,1594423111
Keflavik,64.0,-22.56,48.88,93,90,10.29,IS,1594423112
Alofi,-19.06,-169.92,77.0,73,90,14.99,NU,1594423047
Maba,24.68,113.6,79.72,87,84,3.29,CN,1594423112
Taltal,-25.4,-70.48,55.11,80,24,3.98,CL,1594423112
Kars,40.6,43.09,46.4,100,40,3.36,TR,1594423112
Hambantota,6.12,81.12,80.74,80,100,16.2,LK,1594423113
Krasnokamensk,50.1,118.04,70.7,54,2,10.96,RU,1594423113
Port-Cartier,50.03,-66.87,64.72,88,75,6.93,CA,1594423113
Namatanai,-3.67,152.43,83.91,71,56,7.54,PG,1594423113
Gwadar,25.12,62.33,83.91,87,50,6.87,PK,1594423113
Arlit,18.74,7.39,95.76,19,3,4.43,NE,1594422933
Mandalgovi,45.76,106.27,55.9,75,0,10.94,MN,1594423114
Warrnambool,-38.38,142.48,46.0,96,100,2.15,AU,1594423114
Rodeo,38.03,-122.27,88.32,14,1,14.99,US,1594423114
Bima,-8.47,118.72,73.89,87,74,4.5,ID,1594423114
Yazoo City,32.86,-90.41,90.21,66,40,8.05,US,1594423115
Notre-Dame-du-Lac,47.61,-68.8,84.43,54,40,10.29,CA,1594423115
Dalbandin,28.89,64.41,80.73,15,0,6.4,PK,1594423115
Nyandoma,61.67,40.2,49.01,88,0,4.59,RU,1594423116
Coquimbo,-29.95,-71.34,55.4,87,66,3.36,CL,1594423116
Arroyo de la Encomienda,41.61,-4.8,61.97,82,0,11.41,ES,1594423116
Umluj,25.02,37.27,80.38,64,0,4.68,SA,1594422950
Huarmey,-10.07,-78.15,63.3,79,8,10.18,PE,1594423116
Faleula,-13.79,-171.83,91.4,70,40,11.41,WS,1594423117
Westport,41.14,-73.36,72.82,94,90,16.11,US,1594423117
Hastings,50.86,0.57,54.7,65,3,1.99,GB,1594422940
Yaring,6.87,101.37,76.8,85,56,7.56,TH,1594423117
Tacarigua,10.09,-67.92,73.99,88,85,2.77,VE,1594423118
Pinoma,16.88,121.72,78.13,88,93,2.64,PH,1594423118
Paamiut,61.99,-49.67,42.67,97,100,3.94,GL,1594423118
Zapolyarnyy,69.42,30.81,48.2,87,75,4.7,RU,1594423118
Monte Patria,-30.69,-70.95,61.93,44,67,1.61,CL,1594423119
Vuktyl,63.86,57.31,66.07,95,100,5.01,RU,1594423040
Mago,53.25,140.18,58.37,79,100,1.3,RU,1594423119
Padang,-0.95,100.35,77.41,80,80,4.47,ID,1594423119
Byron Bay,-28.65,153.62,60.26,93,99,5.23,AU,1594423119
Blackfoot,43.19,-112.34,80.91,21,20,17.22,US,1594422980
Vanimo,-2.67,141.3,81.36,74,100,6.22,PG,1594423120
Stavern,59.0,10.03,50.58,93,100,5.82,NO,1594423120
Port Moresby,-9.44,147.18,78.8,88,40,5.82,PG,1594423017
Panzhihua,26.59,101.71,72.7,74,100,2.64,CN,1594423121
Samarinda,-0.5,117.15,73.6,98,100,1.99,ID,1594423121
Ailigandí,9.23,-78.02,81.7,83,84,4.68,PA,1594423121
Tarakan,3.3,117.63,78.48,82,100,1.3,ID,1594423121
Nānākuli,21.39,-158.15,85.96,48,75,10.29,US,1594423121
‘Ewa Beach,21.32,-158.01,86.29,48,75,10.29,US,1594423042
Show Low,34.25,-110.03,93.88,14,20,6.93,US,1594422833
Gävle,60.67,17.14,52.0,95,89,1.81,SE,1594423123
Vallenar,-28.57,-70.76,63.39,47,42,0.87,CL,1594423007
Xishan,27.67,113.5,80.6,88,100,6.71,CN,1594423124
Minna,9.61,6.56,74.17,88,97,2.35,NG,1594423124
Bam,29.11,58.36,81.19,17,32,11.16,IR,1594423124
Acapulco de Juárez,16.86,-99.89,86.0,79,40,12.75,MX,1594422927
Ginda,30.69,78.49,63.64,76,0,4.16,IN,1594423125
Mumford,5.26,-0.76,75.22,88,100,12.64,GH,1594423125
Spencer,43.14,-95.14,84.76,51,1,12.75,US,1594423125
Pires do Rio,-17.3,-48.28,65.1,41,0,5.57,BR,1594423125
Buchanan,5.88,-10.05,77.0,83,75,6.93,LR,1594423126
Prigorodnyy,51.77,55.27,66.2,59,6,4.47,RU,1594423126
Sinnamary,5.38,-52.95,79.16,85,89,9.86,GF,1594423126
Sri Aman,1.24,111.46,75.11,100,100,4.7,MY,1594423126
Qandala,11.47,49.87,92.61,46,100,8.61,SO,1594423127
Kismayo,-0.36,42.55,77.72,81,55,16.02,SO,1594423127
Chimoio,-19.12,33.48,66.09,93,20,4.07,MZ,1594423127
Kisangani,0.52,25.2,72.55,85,63,1.36,CD,1594423127
Vaitape,-16.52,-151.75,78.75,79,33,21.61,PF,1594423128
Rørvik,64.86,11.24,53.44,79,34,11.77,NO,1594423128
Santa Cruz de la Sierra,-17.8,-63.17,73.78,69,20,14.99,BO,1594422885
Mujiayingzi,42.12,118.78,69.26,68,13,4.72,CN,1594423128
Jining,35.41,116.58,82.0,24,100,7.72,CN,1594423129
Kupang,-10.17,123.58,77.0,83,20,9.17,ID,1594423129
Kimbe,-5.55,150.14,82.44,75,25,5.14,PG,1594423129
Srandakan,-7.94,110.25,74.32,90,100,3.74,ID,1594422834
Honiara,-9.43,159.95,80.6,88,75,4.7,SB,1594423129
Alyangula,-13.85,136.42,80.6,61,90,12.82,AU,1594423130
Vanavara,60.34,102.28,59.83,89,100,12.15,RU,1594423130
Kruisfontein,-34.0,24.73,51.24,82,87,4.5,ZA,1594423130
Makkah al Mukarramah,21.43,39.83,88.43,15,91,6.08,SA,1594422875
